#TIME,layer1,layer2,layer3,cloud_cover
2010-10-01 00:15:00,2098,NA,NA,89
2010-10-01 00:30:00,2033,NA,NA,63
2010-10-01 00:45:00,2228,2438,NA,99
2010-10-01 01:00:00,2320,2298,2418,90
2010-10-01 01:15:00,2160,2285,2418,69
2010-10-01 01:30:00,1918,2073,NA,6
2010-10-01 01:45:00,NA,NA,NA,0
2010-10-01 02:00:00,NA,NA,NA,0
2010-10-01 02:15:00,3318,NA,NA,0
2010-10-01 02:30:00,3318,NA,NA,4
2010-10-01 02:45:00,NA,NA,NA,0
2010-10-01 03:00:00,5638,5743,NA,1
2010-10-01 03:15:00,3638,3908,NA,57
2010-10-01 03:30:00,3518,3478,NA,99
2010-10-01 03:45:00,3348,3478,NA,99
2010-10-01 04:00:00,3123,3108,3278,85
2010-10-01 04:15:00,3078,3148,3278,98
2010-10-01 04:30:00,2888,2948,NA,100
2010-10-01 04:45:00,2888,2908,2978,100
2010-10-01 05:00:00,558,2748,2978,99
2010-10-01 05:15:00,518,2608,2628,98
2010-10-01 05:30:00,598,2050,2598,100
2010-10-01 05:45:00,588,1523,1588,100
2010-10-01 06:00:00,2388,2315,2598,100
2010-10-01 06:15:00,1218,2158,1138,100
2010-10-01 06:30:00,578,1148,1423,100
2010-10-01 06:45:00,1288,2183,2388,100
2010-10-01 07:00:00,838,1208,1728,100
2010-10-01 07:15:00,648,1768,2198,100
2010-10-01 07:30:00,1308,1468,1558,100
2010-10-01 07:45:00,1428,2258,2340,100
2010-10-01 08:00:00,678,1248,1393,100
2010-10-01 08:15:00,668,923,1250,100
2010-10-01 08:30:00,1183,1418,1528,100
2010-10-01 08:45:00,678,1113,1248,100
2010-10-01 09:00:00,578,1038,1088,100
2010-10-01 09:15:00,558,793,1038,100
2010-10-01 09:30:00,598,728,NA,100
2010-10-01 09:45:00,568,NA,NA,100
2010-10-01 10:00:00,588,NA,NA,100
2010-10-01 10:15:00,588,748,NA,100
2010-10-01 10:30:00,513,758,NA,100
2010-10-01 10:45:00,498,698,NA,100
2010-10-01 11:00:00,468,628,NA,100
2010-10-01 11:15:00,458,683,NA,100
2010-10-01 11:30:00,468,758,NA,100
2010-10-01 11:45:00,438,628,NA,100
2010-10-01 12:00:00,428,598,NA,100
