TIME,layer1,layer2,layer3,cloud_cover
2010-10-01 00:15:00,2108,NA,NA,73
2010-10-01 00:30:00,2078,2438,NA,77
2010-10-01 00:45:00,2228,2378,2418,90
2010-10-01 01:00:00,2298,2323,2418,91
2010-10-01 01:15:00,2208,2298,2418,59
2010-10-01 01:30:00,1958,2168,NA,17
2010-10-01 01:45:00,NA,NA,NA,0
2010-10-01 02:00:00,NA,NA,NA,0
2010-10-01 02:15:00,3318,NA,NA,1
2010-10-01 02:30:00,3318,NA,NA,2
2010-10-01 02:45:00,3318,NA,NA,0
2010-10-01 03:00:00,3718,5743,NA,9
2010-10-01 03:15:00,3585,3908,NA,54
2010-10-01 03:30:00,3518,3893,NA,94
2010-10-01 03:45:00,3348,3178,NA,96
2010-10-01 04:00:00,3138,3128,3278,92
2010-10-01 04:15:00,3018,3108,3278,95
2010-10-01 04:30:00,2898,3038,3278,100
2010-10-01 04:45:00,2848,2773,2978,100
2010-10-01 05:00:00,565,2758,2978,99
2010-10-01 05:15:00,538,2608,2628,99
2010-10-01 05:30:00,588,1683,2313,99
2010-10-01 05:45:00,598,1538,1668,100
2010-10-01 06:00:00,1408,1858,2118,100
2010-10-01 06:15:00,1203,1148,1300,100
2010-10-01 06:30:00,638,1158,1498,100
2010-10-01 06:45:00,1098,1743,1718,100
2010-10-01 07:00:00,798,1658,1738,100
2010-10-01 07:15:00,688,1663,1688,100
2010-10-01 07:30:00,1278,1608,1583,100
2010-10-01 07:45:00,1328,2198,1758,100
2010-10-01 08:00:00,743,1238,1408,100
2010-10-01 08:15:00,748,1128,1378,100
2010-10-01 08:30:00,968,1208,1443,100
2010-10-01 08:45:00,693,1148,1398,100
2010-10-01 09:00:00,588,968,1088,100
2010-10-01 09:15:00,578,848,1063,100
2010-10-01 09:30:00,578,728,NA,100
2010-10-01 09:45:00,568,758,NA,100
2010-10-01 10:00:00,588,748,NA,100
2010-10-01 10:15:00,588,758,NA,100
2010-10-01 10:30:00,528,758,NA,100
2010-10-01 10:45:00,488,738,NA,100
2010-10-01 11:00:00,468,670,NA,100
